iteration,duration,findLastItemDuration,getItemTextDuration
667,384,11,9
668,256,8,10
669,257,11,9
670,480,12,9
671,254,11,8
672,379,7,11
673,255,8,10
674,251,10,10
675,387,8,8
676,248,8,10
677,392,7,11
678,256,7,9
679,265,11,8
680,455,11,11
681,271,8,8
682,393,8,9
683,257,12,8
684,257,8,10
685,393,7,9
686,258,8,11
687,382,7,10
688,286,12,10
689,267,11,8
690,445,11,11
691,267,7,10
692,386,8,9
693,266,11,10
694,262,7,9
695,389,7,10
696,258,8,9
697,264,12,9
698,396,8,10
699,267,7,10
700,466,12,9
701,266,12,9
702,264,7,12
703,408,13,6
704,260,8,9
705,436,40,10
706,257,11,9
707,267,8,9
708,404,8,8
709,265,8,9
710,461,12,10
711,262,11,9
712,272,7,11
713,401,8,5
714,267,12,10
715,392,8,5
716,266,12,8
717,266,12,9
718,404,12,10
719,264,7,12
720,457,12,9
721,267,11,9
722,255,8,8
723,436,11,11
724,264,11,9
725,268,11,10
726,409,8,10
727,262,7,10
728,417,8,8
729,261,8,8
730,329,12,10
731,408,12,9
732,264,8,9
733,409,8,6
734,271,7,9
735,269,8,6
736,419,8,6
737,270,8,9
738,416,8,5
739,331,12,8
740,265,11,10
741,445,12,10
742,271,9,8
743,402,8,9
744,281,12,8
745,275,8,10
746,417,11,9
747,269,9,9
748,468,11,9
749,285,12,11
750,281,8,8
751,419,12,6
752,276,8,8
753,276,12,8
754,421,8,6
755,281,11,9
756,422,8,8
757,278,12,8
758,367,12,10
759,426,12,8
760,280,8,10
761,426,9,8
762,272,7,10
763,275,8,10
764,428,8,9
765,280,8,10
766,431,8,12
767,331,7,7
768,277,7,7
769,432,8,10
770,287,8,10
771,428,7,12
772,287,12,8
773,272,8,6
774,466,12,10
775,280,12,9
776,497,12,7
777,284,7,10
778,284,7,12
779,433,9,10
780,278,12,8
781,428,8,9
782,281,12,8
783,276,8,10
784,439,12,9
785,342,8,10
786,430,7,11
787,285,7,10
788,283,9,8
789,442,9,9
790,281,8,10
791,474,12,6
792,293,12,8
793,433,8,9
794,362,12,6
795,285,8,8
796,431,13,9
797,283,8,8
798,437,12,8
799,289,8,10
800,283,12,10
801,446,12,9
802,281,8,9
803,504,12,10
804,282,12,8
805,276,8,10
806,439,12,8
807,289,15,8
808,483,12,10
809,285,11,9
810,285,9,8
811,440,8,6
812,354,7,14
813,453,8,11
814,285,8,9
815,292,12,9
816,451,8,11
817,291,12,8
818,447,9,10
819,280,7,10
820,432,8,9
821,371,12,11
822,288,10,8
823,441,12,9
824,287,8,8
825,479,13,6
826,1004,14,10
827,298,8,12
828,394,13,10
829,292,8,12
830,323,9,7
831,300,8,10
832,326,12,8
833,291,13,9
834,325,10,9
835,313,13,8
836,303,12,11
837,322,9,10
838,360,13,10
839,330,12,9
840,295,13,9
841,343,12,11
842,305,13,11
