iteration,duration,findLastItemDuration,getItemTextDuration
662,118,7,12
663,120,7,12
664,118,6,12
665,120,7,11
666,272,7,14
667,133,7,11
668,120,7,12
669,119,7,11
670,122,7,12
671,118,7,11
672,119,7,11
673,117,6,12
674,118,7,11
675,171,7,11
676,117,9,11
677,116,7,11
678,117,7,11
679,117,7,11
680,120,7,11
681,117,7,11
682,117,6,12
683,117,7,12
684,116,6,12
685,118,7,12
686,119,7,12
687,118,7,11
688,120,8,12
689,116,6,12
690,197,7,12
691,126,7,14
692,124,7,11
693,117,7,12
694,118,6,12
695,119,7,11
696,118,7,12
697,119,8,11
698,117,6,11
699,121,7,12
700,117,7,11
701,117,7,11
702,120,7,12
703,117,7,12
704,120,7,12
705,118,7,12
706,116,6,12
707,123,7,12
708,353,13,15
709,131,8,12
710,127,7,13
711,122,7,12
712,125,8,12
713,192,7,12
714,160,7,12
715,118,7,11
716,121,8,12
717,122,7,12
718,121,7,11
719,119,7,11
720,117,7,11
721,123,9,11
722,124,8,11
723,120,7,12
724,122,7,12
725,122,7,12
726,119,7,12
727,118,7,9
728,116,7,12
729,123,7,12
730,121,7,12
731,119,7,13
732,117,7,11
733,117,7,11
734,117,7,12
735,117,7,11
736,118,7,12
737,118,7,11
738,189,7,12
739,111,7,12
740,124,10,13
741,118,7,11
742,118,7,12
743,119,6,11
744,119,7,11
745,117,7,11
746,117,7,12
747,117,7,11
748,120,7,13
749,122,7,12
750,118,7,12
751,121,10,11
752,119,8,12
753,120,7,12
754,118,7,12
755,120,7,11
756,180,7,11
757,114,7,8
758,116,7,11
759,122,7,12
760,118,7,12
761,119,7,12
762,117,7,9
763,188,7,12
764,113,7,12
765,119,7,11
766,121,8,11
767,117,8,11
768,119,7,12
769,120,7,12
770,120,7,12
771,119,7,12
772,118,8,11
773,120,7,11
774,119,7,11
775,118,7,12
776,118,7,11
777,121,7,12
778,118,7,11
779,123,7,11
780,119,7,12
781,118,7,11
782,118,7,8
783,122,8,12
784,130,8,19
785,120,7,12
786,120,7,12
787,121,7,12
788,122,7,11
789,202,11,12
790,132,12,11
791,224,19,13
792,132,8,11
793,126,8,11
794,124,9,10
795,125,8,11
796,183,7,9
797,117,8,11
798,119,7,11
799,120,7,12
800,121,7,11
801,120,7,12
802,118,7,12
803,123,7,12
804,118,7,12
805,118,7,12
806,119,7,12
807,121,8,12
808,124,7,12
809,122,7,12
810,121,7,11
811,122,7,12
812,208,8,16
813,116,8,11
814,126,7,9
815,123,7,12
816,122,7,13
817,120,8,11
818,121,7,12
819,121,8,11
820,127,7,12
821,126,10,11
822,120,8,11
823,118,7,11
824,121,7,12
825,121,8,11
826,125,8,11
827,119,8,11
828,341,8,11
829,134,7,16
830,137,8,12
831,130,9,14
832,124,8,12
833,124,7,12
834,125,7,12
835,271,11,13
836,129,7,12
837,130,8,12
838,120,7,11
839,126,8,12
840,122,7,12
841,120,7,12
842,121,8,11
843,121,7,11
844,125,7,12
845,127,8,9
846,122,7,12
847,119,8,11
848,120,7,12
849,122,7,12
850,122,9,11
851,122,8,11
852,121,7,12
853,120,8,11
854,123,7,12
855,121,7,12
856,119,7,12
857,117,7,9
858,120,8,11
859,120,8,12
860,203,8,11
861,122,7,14
862,124,7,9
863,124,7,9
864,124,7,12
865,125,7,12
866,121,7,11
867,124,8,11
868,121,7,12
869,128,7,12
870,122,7,12
871,125,7,12
872,120,7,12
873,123,7,12
874,119,8,11
875,122,7,12
876,192,8,13
877,120,8,11
878,128,8,11
879,123,8,8
880,121,7,12
881,123,8,9
882,121,8,12
883,125,8,12
884,196,8,11
885,119,11,12
886,129,10,14
887,121,8,11
888,127,8,11
889,128,8,13
890,123,8,11
891,127,7,12
892,124,7,12
893,128,7,12
894,125,8,9
895,120,8,11
896,125,8,12
897,121,8,11
898,126,8,9
899,127,7,12
900,121,7,12
901,125,7,12
902,123,8,11
903,125,7,12
904,121,8,8
905,133,9,14
906,124,8,9
907,127,8,11
908,123,7,12
909,207,11,12
910,132,8,11
911,135,8,11
912,204,8,11
913,146,8,12
914,126,7,12
915,195,8,14
916,126,8,12
917,129,7,12
918,126,7,12
919,127,8,12
920,127,8,12
921,127,8,11
922,125,7,12
923,126,7,12
924,126,8,11
925,126,8,12
926,127,8,12
927,127,8,12
928,130,10,12
929,130,7,12
930,127,8,11
931,124,8,11
932,213,8,12
933,125,8,11
934,127,8,11
935,127,7,12
936,127,8,11
937,126,8,12
938,126,7,12
939,126,8,11
940,126,8,11
941,123,7,11
942,129,7,12
943,125,8,12
944,126,7,12
945,128,7,12
946,360,14,14
947,137,8,12
948,133,8,14
949,129,8,12
950,128,8,12
951,128,10,11
952,191,7,12
953,223,12,13
954,138,9,12
955,129,7,12
956,126,8,12
957,129,7,12
958,126,8,8
959,127,7,12
960,128,8,12
961,127,8,13
962,130,8,12
963,129,8,11
964,124,7,12
965,127,7,12
966,125,8,12
967,128,8,11
968,128,8,12
969,125,8,11
970,125,9,10
971,127,7,12
972,125,8,11
973,130,8,11
974,128,8,12
975,126,8,8
976,128,8,11
977,213,12,8
978,132,8,12
979,129,8,11
980,126,9,11
981,131,7,12
982,126,8,11
983,132,7,12
984,128,8,11
985,128,8,11
986,130,8,11
987,135,8,12
988,127,7,12
989,127,8,9
990,188,8,12
991,115,7,12
992,133,8,11
993,127,7,12
994,125,8,12
995,127,8,12
996,130,8,12
997,130,8,12
998,135,8,12
999,131,8,11
1000,218,9,13
